Position,Const,Created,Modified,Description,Name,Known For,Birth Date
433,nm4001257,2023-04-20,2023-04-20,,"Joana Vilapuig","Selftape","23 de octubre de 1994"
434,nm1333962,2023-04-22,2023-04-22,,"Carolina Gaitan","Encanto","4 de abril de 1984"
435,nm4738005,2023-04-22,2023-04-22,,"Clara Alvarado","La casa de papel",
436,nm9016307,2023-04-28,2023-04-28,,"Katrin Vankova","The Unbearable Weight of Massive Talent",
437,nm2091852,2023-04-28,2023-04-28,,"Lily Mo Sheen","The Unbearable Weight of Massive Talent","31 de enero de 1999"
438,nm3380235,2023-04-29,2023-04-29,,"Ana Morgade","Tu cara me suena","8 de noviembre de 1979"
439,nm7463803,2023-05-03,2023-05-03,,"Julia Antonelli","Beau Is Afraid","7 de mayo de 2003"
440,nm0310823,2023-05-05,2023-05-05,,"Françoise Gayat","Moonraker",
441,nm0508828,2023-05-05,2023-05-05,,"Béatrice Libert","Moonraker",
442,nm2780716,2023-05-07,2023-05-07,,"Victoria Luengo","The Room Next Door","7 de abril de 1990"
443,nm3177499,2023-05-17,2023-05-17,,"Numa Paredes","Are You Afraid of the Dark?",
444,nm1982510,2023-05-20,2023-05-20,,"Jenna Coleman","Victoria","27 de abril de 1986"
445,nm2725254,2023-05-22,2023-05-22,,"María León","La voz dormida","30 de julio de 1984"
446,nm6713944,2023-05-28,2023-05-28,,"Laura Weissmahr","Salve Maria","1992"
447,nm0001349,2023-05-30,2023-05-30,,"Jennifer Love Hewitt","I Know What You Did Last Summer","21 de febrero de 1979"
448,nm0135666,2023-06-01,2023-06-01,,"Debora Caprioglio","Paprika","3 de mayo de 1968"
449,nm0342111,2023-06-01,2023-06-01,,"Eva Grimaldi","Intimo","7 de septiembre de 1961"
450,nm10678598,2023-06-05,2023-06-05,,"Yune Nogueiras","La infiltrada",
451,nm0073031,2023-06-07,2023-06-07,,"Femi Benussi","Il boia scarlatto","4 de marzo de 1945"
452,nm0001042,2023-06-09,2023-06-09,,"Lois Chiles","Moonraker","15 de abril de 1947"
453,nm8567338,2023-06-17,2023-06-17,,"Sasha Calle","The Flash","7 de agosto de 1995"
